index,card_name,set_name,card_id,binder_name,page_number,slot_number,card_market_value
2-1-1,Alakazam,Base Set 2,base4-1,2,1,1,38.38
2-1-2,Blastoise,Base Set 2,base4-2,2,1,2,107.78
2-1-3,Chansey,Base Set 2,base4-3,2,1,3,15.58
2-1-4,Charizard,Base Set 2,base4-4,2,1,4,320.89
2-1-5,Clefable,Base Set 2,base4-5,2,1,5,15.28
2-1-6,Clefairy,Base Set 2,base4-6,2,1,6,11.42
2-1-7,Gyarados,Base Set 2,base4-7,2,1,7,27.78
2-1-8,Hitmonchan,Base Set 2,base4-8,2,1,8,21.27
2-1-9,Magneton,Base Set 2,base4-9,2,1,9,12.86
2-2-1,Mewtwo,Base Set 2,base4-10,2,2,1,43.63
2-2-2,Nidoking,Base Set 2,base4-11,2,2,2,25.33
2-2-3,Nidoqueen,Base Set 2,base4-12,2,2,3,23.24
2-2-4,Ninetales,Base Set 2,base4-13,2,2,4,22.58
2-2-5,Pidgeot,Base Set 2,base4-14,2,2,5,27.58
2-2-6,Poliwrath,Base Set 2,base4-15,2,2,6,13.23
2-2-7,Raichu,Base Set 2,base4-16,2,2,7,33.47
2-2-8,Scyther,Base Set 2,base4-17,2,2,8,25.66
2-2-9,Venusaur,Base Set 2,base4-18,2,2,9,72.77
2-3-1,Wigglytuff,Base Set 2,base4-19,2,3,1,11.65
2-3-2,Zapdos,Base Set 2,base4-20,2,3,2,24.49
2-3-3,Beedrill,Base Set 2,base4-21,2,3,3,2.01
2-3-4,Dragonair,Base Set 2,base4-22,2,3,4,9.15
2-3-5,Dugtrio,Base Set 2,base4-23,2,3,5,3.49
2-3-6,Electabuzz,Base Set 2,base4-24,2,3,6,3.23
2-3-7,Electrode,Base Set 2,base4-25,2,3,7,3.81
2-3-8,Kangaskhan,Base Set 2,base4-26,2,3,8,3.6
2-3-9,Mr. Mime,Base Set 2,base4-27,2,3,9,5.54
2-4-1,Pidgeotto,Base Set 2,base4-28,2,4,1,3.99
2-4-2,Pinsir,Base Set 2,base4-29,2,4,2,3.82
2-4-3,Snorlax,Base Set 2,base4-30,2,4,3,9.71
2-4-4,Venomoth,Base Set 2,base4-31,2,4,4,3.34
2-4-5,Victreebel,Base Set 2,base4-32,2,4,5,2.81
2-4-6,Arcanine,Base Set 2,base4-33,2,4,6,1.82
2-4-7,Butterfree,Base Set 2,base4-34,2,4,7,1.53
2-4-8,Charmeleon,Base Set 2,base4-35,2,4,8,1.34
2-4-9,Dewgong,Base Set 2,base4-36,2,4,9,1.25
2-5-1,Dodrio,Base Set 2,base4-37,2,5,1,1.69
2-5-2,Dratini,Base Set 2,base4-38,2,5,2,0.88
2-5-3,Exeggutor,Base Set 2,base4-39,2,5,3,1.15
2-5-4,Farfetch'd,Base Set 2,base4-40,2,5,4,0.55
2-5-5,Fearow,Base Set 2,base4-41,2,5,5,1.39
2-5-6,Growlithe,Base Set 2,base4-42,2,5,6,1.29
2-5-7,Haunter,Base Set 2,base4-43,2,5,7,0.99
2-5-8,Ivysaur,Base Set 2,base4-44,2,5,8,3.52
2-5-9,Jynx,Base Set 2,base4-45,2,5,9,0.71
2-6-1,Kadabra,Base Set 2,base4-46,2,6,1,1.25
2-6-2,Kakuna,Base Set 2,base4-47,2,6,2,0.77
2-6-3,Lickitung,Base Set 2,base4-48,2,6,3,2.2
2-6-4,Machoke,Base Set 2,base4-49,2,6,4,0.7
2-6-5,Magikarp,Base Set 2,base4-50,2,6,5,1.07
2-6-6,Magmar,Base Set 2,base4-51,2,6,6,1.45
2-6-7,Marowak,Base Set 2,base4-52,2,6,7,1.7
2-6-8,Nidorina,Base Set 2,base4-53,2,6,8,0.65
2-6-9,Nidorino,Base Set 2,base4-54,2,6,9,1.78
2-7-1,Parasect,Base Set 2,base4-55,2,7,1,1.11
2-7-2,Persian,Base Set 2,base4-56,2,7,2,1.85
2-7-3,Poliwhirl,Base Set 2,base4-57,2,7,3,0.99
2-7-4,Raticate,Base Set 2,base4-58,2,7,4,1.03
2-7-5,Rhydon,Base Set 2,base4-59,2,7,5,2.09
2-7-6,Seaking,Base Set 2,base4-60,2,7,6,0.92
2-7-7,Seel,Base Set 2,base4-61,2,7,7,0.75
2-7-8,Tauros,Base Set 2,base4-62,2,7,8,3.13
2-7-9,Wartortle,Base Set 2,base4-63,2,7,9,1.88
2-8-1,Weepinbell,Base Set 2,base4-64,2,8,1,1.17
2-8-2,Abra,Base Set 2,base4-65,2,8,2,0.46
2-8-3,Bellsprout,Base Set 2,base4-66,2,8,3,0.5
2-8-4,Bulbasaur,Base Set 2,base4-67,2,8,4,2.51
2-8-5,Caterpie,Base Set 2,base4-68,2,8,5,0.72
2-8-6,Charmander,Base Set 2,base4-69,2,8,6,1.12
2-8-7,Cubone,Base Set 2,base4-70,2,8,7,0.92
2-8-8,Diglett,Base Set 2,base4-71,2,8,8,0.51
2-8-9,Doduo,Base Set 2,base4-72,2,8,9,0.47
2-9-1,Drowzee,Base Set 2,base4-73,2,9,1,0.54
2-9-2,Exeggcute,Base Set 2,base4-74,2,9,2,0.5
2-9-3,Gastly,Base Set 2,base4-75,2,9,3,0.47
2-9-4,Goldeen,Base Set 2,base4-76,2,9,4,0.49
2-9-5,Jigglypuff,Base Set 2,base4-77,2,9,5,0.91
2-9-6,Machop,Base Set 2,base4-78,2,9,6,0.45
2-9-7,Magnemite,Base Set 2,base4-79,2,9,7,0.42
2-9-8,Meowth,Base Set 2,base4-80,2,9,8,0.57
2-9-9,Metapod,Base Set 2,base4-81,2,9,9,0.5
2-10-1,Nidoran ♀,Base Set 2,base4-82,2,10,1,0.47
2-10-2,Nidoran ♂,Base Set 2,base4-83,2,10,2,0.64
2-10-3,Onix,Base Set 2,base4-84,2,10,3,0.91
2-10-4,Paras,Base Set 2,base4-85,2,10,4,0.46
2-10-5,Pidgey,Base Set 2,base4-86,2,10,5,0.85
2-10-6,Pikachu,Base Set 2,base4-87,2,10,6,2.51
2-10-7,Poliwag,Base Set 2,base4-88,2,10,7,0.41
2-10-8,Rattata,Base Set 2,base4-89,2,10,8,0.5
2-10-9,Rhyhorn,Base Set 2,base4-90,2,10,9,0.64
2-11-1,Sandshrew,Base Set 2,base4-91,2,11,1,0.46
2-11-2,Spearow,Base Set 2,base4-92,2,11,2,0.56
2-11-3,Squirtle,Base Set 2,base4-93,2,11,3,1.14
2-11-4,Starmie,Base Set 2,base4-94,2,11,4,0.54
2-11-5,Staryu,Base Set 2,base4-95,2,11,5,0.34
2-11-6,Tangela,Base Set 2,base4-96,2,11,6,0.46
2-11-7,Venonat,Base Set 2,base4-97,2,11,7,0.67
2-11-8,Voltorb,Base Set 2,base4-98,2,11,8,0.62
2-11-9,Vulpix,Base Set 2,base4-99,2,11,9,0.89
2-12-1,Weedle,Base Set 2,base4-100,2,12,1,0.39
2-12-2,Computer Search,Base Set 2,base4-101,2,12,2,2.63
2-12-3,Imposter Professor Oak,Base Set 2,base4-102,2,12,3,2.42
2-12-4,Item Finder,Base Set 2,base4-103,2,12,4,7.58
2-12-5,Lass,Base Set 2,base4-104,2,12,5,2.67
2-12-6,Pokémon Breeder,Base Set 2,base4-105,2,12,6,4.4
2-12-7,Pokémon Trader,Base Set 2,base4-106,2,12,7,3.45
2-12-8,Scoop Up,Base Set 2,base4-107,2,12,8,4.64
2-12-9,Super Energy Removal,Base Set 2,base4-108,2,12,9,2.86
2-13-1,Defender,Base Set 2,base4-109,2,13,1,0.41
2-13-2,Energy Retrieval,Base Set 2,base4-110,2,13,2,0.41
2-13-3,Full Heal,Base Set 2,base4-111,2,13,3,0.42
2-13-4,Maintenance,Base Set 2,base4-112,2,13,4,0.82
2-13-5,PlusPower,Base Set 2,base4-113,2,13,5,0.5
2-13-6,Pokémon Center,Base Set 2,base4-114,2,13,6,0.98
2-13-7,Pokédex,Base Set 2,base4-115,2,13,7,0.65
2-13-8,Professor Oak,Base Set 2,base4-116,2,13,8,1.47
2-13-9,Super Potion,Base Set 2,base4-117,2,13,9,0.31
2-14-1,Bill,Base Set 2,base4-118,2,14,1,0.39
2-14-2,Energy Removal,Base Set 2,base4-119,2,14,2,0.34
2-14-3,Gust of Wind,Base Set 2,base4-120,2,14,3,0.33
2-14-4,Poké Ball,Base Set 2,base4-121,2,14,4,0.39
2-14-5,Potion,Base Set 2,base4-122,2,14,5,0.25
2-14-6,Switch,Base Set 2,base4-123,2,14,6,0.31
2-14-7,Double Colorless Energy,Base Set 2,base4-124,2,14,7,2.07
2-14-8,Fighting Energy,Base Set 2,base4-125,2,14,8,0.26
2-14-9,Fire Energy,Base Set 2,base4-126,2,14,9,0.69
2-15-1,Grass Energy,Base Set 2,base4-127,2,15,1,0.23
2-15-2,Lightning Energy,Base Set 2,base4-128,2,15,2,0.28
2-15-3,Psychic Energy,Base Set 2,base4-129,2,15,3,0.26
2-15-4,Water Energy,Base Set 2,base4-130,2,15,4,0.19
2-15-5,Charizard,Base Set 2,base4-4,2,15,5,320.89
2-15-6,Blastoise,Base Set 2,base4-2,2,15,6,107.78
2-15-7,Venusaur,Base Set 2,base4-18,2,15,7,72.77
2-15-8,Mewtwo,Base Set 2,base4-10,2,15,8,43.63
2-15-9,Zapdos,Base Set 2,base4-20,2,15,9,24.49
2-16-1,Raichu,Base Set 2,base4-16,2,16,1,33.47
2-16-2,Scyther,Base Set 2,base4-17,2,16,2,25.66
2-16-3,Wigglytuff,Base Set 2,base4-19,2,16,3,11.65
2-16-4,Pidgeot,Base Set 2,base4-14,2,16,4,27.58
2-16-5,Nidoqueen,Base Set 2,base4-12,2,16,5,23.24
2-16-6,Nidoking,Base Set 2,base4-11,2,16,6,25.33
2-16-7,Alakazam,Base Set 2,base4-1,2,16,7,38.38
2-16-8,Gyarados,Base Set 2,base4-7,2,16,8,27.78
2-16-9,Chansey,Base Set 2,base4-3,2,16,9,15.58
2-17-1,Clefable,Base Set 2,base4-5,2,17,1,15.28
2-17-2,Pikachu,Base Set 2,base4-87,2,17,2,2.51
2-17-3,Bulbasaur,Base Set 2,base4-67,2,17,3,2.51
2-17-4,Charmander,Base Set 2,base4-69,2,17,4,1.12
2-17-5,Squirtle,Base Set 2,base4-93,2,17,5,1.14
2-17-6,Pidgey,Base Set 2,base4-86,2,17,6,0.85
2-17-7,Rattata,Base Set 2,base4-89,2,17,7,0.5
2-17-8,Clefairy,Base Set 2,base4-6,2,17,8,11.42
2-17-9,Magikarp,Base Set 2,base4-50,2,17,9,1.07
2-18-1,Abra,Base Set 2,base4-65,2,18,1,0.46
2-18-2,Machop,Base Set 2,base4-78,2,18,2,0.45
2-18-3,Magnemite,Base Set 2,base4-79,2,18,3,0.42
2-18-4,Gastly,Base Set 2,base4-75,2,18,4,0.47
2-18-5,Vulpix,Base Set 2,base4-99,2,18,5,0.89
2-18-6,Seaking,Base Set 2,base4-60,2,18,6,0.92
2-18-7,Weedle,Base Set 2,base4-100,2,18,7,0.39
2-18-8,Caterpie,Base Set 2,base4-68,2,18,8,0.72
2-18-9,Poliwag,Base Set 2,base4-88,2,18,9,0.41
2-19-1,Poliwhirl,Base Set 2,base4-57,2,19,1,0.99
2-19-2,Ivysaur,Base Set 2,base4-44,2,19,2,3.52
2-19-3,Wartortle,Base Set 2,base4-63,2,19,3,1.88
2-19-4,Charmeleon,Base Set 2,base4-35,2,19,4,1.34
